pesticide,crop
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Cotton
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Ground nut
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Maize
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Onion
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Paddy (Rice)
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Soybean
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Sugarcane
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Tomato
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Turmeric
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Wheat
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,anana
Azoxystrobin 18.75% + Tricyclazole 37.5% WG,Black Gram
Azoxystrobin 18.75% + Tricyclazole 37.5% WG,Chilli
Azoxystrobin 18.75% + Tricyclazole 37.5% WG,Rice
Azoxystrobin 20% + Thifluzamide 15% w/v SC,Rice
Azoxystrobin 20% + Thifluzamide 15% w/v SC,Soybean
Azoxystrobin 25% + Boscalid 35% WG,Banana
Azoxystrobin 25% + Boscalid 35% WG,Black gram
Azoxystrobin 25% + Boscalid 35% WG,Chilli
Azoxystrobin 25% + Boscalid 35% WG,Cotton
Azoxystrobin 25% + Boscalid 35% WG,Grapes
Azoxystrobin 25% + Boscalid 35% WG,Groundnut
Azoxystrobin 25% + Boscalid 35% WG,Rice
Azoxystrobin 25% + Boscalid 35% WG,Soybean
Azoxystrobin 25% + Boscalid 35% WG,Tomato
Barium Carbonate 1% P,"Godowns, Residential"
Barium Carbonate 1% P,"Premises, Public halls"
Barium Carbonate 1% P,area
Benalaxyl 8% + Mancozeb 65% WP,Cucumber
Benfuracarb 03 % GR,Rice (Paddy)
Bensulfuron Methyl 60% DF,DAT)
Bensulfuron Methyl 60% DF,Pre-emergence
Bensulfuron Methyl 60% DF,Transplanted Rice
Bensulfuron Methyl 60% DF,Transplated Rice
Bentazone 480 g/l SL,(Transplanted)
Bentazone 480 g/l SL,Rice
Bentazone 480 g/l SL,Rice (Direct
Bentazone 480 g/l SL,Rice (Nursery)
Bentazone 480 g/l SL,Soybean
Bentazone 480 g/l SL,Transplanted
Bentazone 480 g/l SL,Transplanted rice
Bentazone 480 g/l SL,leaf stage of
Bentazone 480 g/l SL,seeded)
Bentazone 480 g/l SL,weeds)
Benzoate 00.10 % w/w Gel,(Periplaneta
Benzoate 00.10 % w/w Gel,American
Benzoate 00.10 % w/w Gel,Cockroach
Benzoate 00.10 % w/w Gel,Insect/Pest
Benzoate 00.10 % w/w Gel,Name of
Benzoate 00.10 % w/w Gel,americana)
Benzpyrimoxan 10% + Pymetrozine 20% WG,Rice
Benzpyrimoxan 10% + Pymetrozine 20% WG,treatment)
Benzpyrimoxan 10% + Thiamethoxam 3.3% SC,Rice
Benzpyrimoxan 15% + Fipronil 10% SC,Rice
Beta-cyfluthrin 02.45 % SC,Cotton
Beta-cyfluthrin 08.49 % + Imidacloprid 19.81 % w/w OD,Brinjal
Beta-cyfluthrin 08.49 % + Imidacloprid 19.81 % w/w OD,Cashew
Beta-cyfluthrin 08.49 % + Imidacloprid 19.81 % w/w OD,Chilli
Beta-cyfluthrin 08.49 % + Imidacloprid 19.81 % w/w OD,Cotton
Beta-cyfluthrin 08.49 % + Imidacloprid 19.81 % w/w OD,Cucumber
Beta-cyfluthrin 08.49 % + Imidacloprid 19.81 % w/w OD,Soybean
Beta-cyfluthrin 08.49 % + Imidacloprid 19.81 % w/w OD,Tea
Beta-cyfluthrin 08.49 % + Imidacloprid 19.81 % w/w OD,Wheat
